epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,7343.06,1.32003,1.04303,0.7183,0.52772,0.43664,0.45034,0.27566,0.27121,2.33671,0.99347,0.70687,0.0084,0.0084,0.0084
62,7463.45,1.28998,1.05165,0.7179,0.53525,0.4379,0.45015,0.27912,0.27209,2.33301,0.99351,0.70627,0.00837333,0.00837333,0.00837333
63,7584.13,1.28237,1.03669,0.71742,0.54082,0.43852,0.45225,0.27965,0.27286,2.32546,0.98776,0.70511,0.00834667,0.00834667,0.00834667
64,7703.98,1.29915,1.03911,0.71841,0.53711,0.44207,0.45493,0.28322,0.27479,2.31182,0.98543,0.70445,0.00832,0.00832,0.00832
65,7824.13,1.29462,1.03508,0.71399,0.53712,0.44016,0.45529,0.2808,0.27444,2.31718,0.98392,0.70413,0.00829333,0.00829333,0.00829333
66,7944.31,1.31931,1.02452,0.71381,0.54528,0.43879,0.45674,0.2837,0.27645,2.30627,0.98364,0.70417,0.00826667,0.00826667,0.00826667
67,8064.31,1.30305,1.02324,0.71357,0.55218,0.43534,0.45847,0.28668,0.27773,2.30268,0.98062,0.70344,0.00824,0.00824,0.00824
68,8185.18,1.2992,1.0297,0.71415,0.54776,0.44461,0.46084,0.28677,0.27866,2.29677,0.97526,0.70295,0.00821333,0.00821333,0.00821333
69,8304.92,1.27884,1.02265,0.70822,0.54039,0.44895,0.46191,0.28652,0.27908,2.29299,0.97547,0.70204,0.00818667,0.00818667,0.00818667
70,8424.99,1.2879,1.01631,0.71317,0.54592,0.44467,0.46232,0.28792,0.27927,2.30809,0.97606,0.7033,0.00816,0.00816,0.00816
71,8545.36,1.29712,1.02547,0.7123,0.54499,0.44208,0.4595,0.28271,0.27722,2.30176,0.97846,0.70271,0.00813333,0.00813333,0.00813333
72,8665.65,1.26791,1.01341,0.71012,0.54187,0.44451,0.46013,0.28492,0.27831,2.30145,0.97635,0.70268,0.00810667,0.00810667,0.00810667
