epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,15838.9,0.85748,1.07725,0.68974,0,0,0,0,0,0,0,0,0.00786667,0.00786667,0.00786667
82,16034.3,0.84948,1.08339,0.68813,0,0,0,0,0,0,0,0,0.00784,0.00784,0.00784
83,16229.8,0.84418,1.07546,0.68945,0,0,0,0,0,0,0,0,0.00781333,0.00781333,0.00781333
84,16425.8,0.88502,1.05849,0.68551,0,0,0,0,0,0,0,0,0.00778667,0.00778667,0.00778667
85,16620.8,0.85542,1.0665,0.68766,0,0,0,0,0,0,0,0,0.00776,0.00776,0.00776
86,16816.7,0.83509,1.06238,0.68521,0,0,0,0,0,0,0,0,0.00773333,0.00773333,0.00773333
87,17012.4,0.88668,1.0614,0.68697,0,0,0,0,0,0,0,0,0.00770667,0.00770667,0.00770667
88,17208,0.81583,1.05785,0.68417,0,0,0,0,0,0,0,0,0.00768,0.00768,0.00768
89,17402.7,0.83984,1.05881,0.68472,0,0,0,0,0,0,0,0,0.00765333,0.00765333,0.00765333
90,17598.8,0.85779,1.06231,0.68556,0,0,0,0,0,0,0,0,0.00762667,0.00762667,0.00762667
91,17794.1,0.83597,1.05048,0.68332,0,0,0,0,0,0,0,0,0.0076,0.0076,0.0076
92,17989.7,0.84382,1.05263,0.68527,0,0,0,0,0,0,0,0,0.00757333,0.00757333,0.00757333
93,18185.4,0.81328,1.0488,0.68164,0,0,0,0,0,0,0,0,0.00754667,0.00754667,0.00754667
94,18380.9,0.82212,1.05117,0.68452,0,0,0,0,0,0,0,0,0.00752,0.00752,0.00752
95,18576.5,0.83159,1.05077,0.68448,0,0,0,0,0,0,0,0,0.00749333,0.00749333,0.00749333
96,18771.6,0.83792,1.04848,0.68566,0,0,0,0,0,0,0,0,0.00746667,0.00746667,0.00746667
97,18967.1,0.8294,1.03989,0.68477,0,0,0,0,0,0,0,0,0.00744,0.00744,0.00744
98,19162.5,0.83506,1.05241,0.6853,0,0,0,0,0,0,0,0,0.00741333,0.00741333,0.00741333
99,19358,0.82818,1.04376,0.6821,0,0,0,0,0,0,0,0,0.00738667,0.00738667,0.00738667
100,19553.2,0.81181,1.0476,0.68152,0,0,0,0,0,0,0,0,0.00736,0.00736,0.00736
101,19748.6,0.84109,1.03251,0.6827,0,0,0,0,0,0,0,0,0.00733333,0.00733333,0.00733333
