epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,2269.09,1.14769,0.90392,0.73487,0.89855,0.83765,0.88204,0.13422,0.328,1.03915,0.87107,0.82068,0.00376,0.00376,0.00376
80,2297.7,1.10554,0.90471,0.73785,0.90729,0.8323,0.88756,0.13256,0.33021,1.03301,0.88266,0.81556,0.00368,0.00368,0.00368
81,2326.22,1.18237,0.90085,0.73866,0.89859,0.83071,0.87731,0.13419,0.32425,1.04312,0.86786,0.82205,0.0036,0.0036,0.0036
82,2354.83,1.1393,0.90713,0.73364,0.89325,0.83354,0.87159,0.12201,0.31491,1.05128,0.87813,0.82985,0.00352,0.00352,0.00352
83,2383.48,1.14093,0.91155,0.73758,0.90012,0.8469,0.89201,0.13325,0.33326,1.02063,0.86532,0.81436,0.00344,0.00344,0.00344
84,2412.1,1.17662,0.88985,0.73571,0.90434,0.84777,0.89135,0.12883,0.32854,1.02219,0.85146,0.81821,0.00336,0.00336,0.00336
85,2440.64,1.13928,0.88669,0.73349,0.87836,0.8153,0.84945,0.09895,0.28896,1.08027,0.89155,0.84651,0.00328,0.00328,0.00328
86,2469.3,1.20761,0.89899,0.73796,0.87934,0.82854,0.85816,0.10686,0.29661,1.07133,0.88099,0.84057,0.0032,0.0032,0.0032
87,2497.94,1.20209,0.88412,0.7406,0.88307,0.83741,0.87474,0.1254,0.31878,1.04625,0.8613,0.82806,0.00312,0.00312,0.00312
88,2526.62,1.14149,0.89613,0.73613,0.89283,0.83229,0.87837,0.12962,0.32208,1.04904,0.86606,0.82546,0.00304,0.00304,0.00304
89,2555.13,1.17315,0.87857,0.73239,0.89315,0.84953,0.88589,0.13117,0.32548,1.0214,0.85725,0.81441,0.00296,0.00296,0.00296
90,2583.71,1.12545,0.89363,0.73248,0.84854,0.80483,0.81616,0.08927,0.2685,1.10187,0.90272,0.85443,0.00288,0.00288,0.00288
91,2613.54,0.87281,0.85503,0.75666,0.90109,0.84824,0.89498,0.13371,0.33561,1.03077,0.84935,0.81525,0.0028,0.0028,0.0028
92,2641.64,0.86606,0.85209,0.76314,0.91746,0.843,0.90279,0.16089,0.35567,0.99704,0.86117,0.80069,0.00272,0.00272,0.00272
93,2669.85,0.86918,0.85328,0.76256,0.91501,0.8654,0.9162,0.16463,0.36218,0.98792,0.83441,0.79563,0.00264,0.00264,0.00264
94,2698.22,0.85834,0.84358,0.75401,0.92011,0.85582,0.91703,0.17271,0.36793,0.96943,0.84231,0.79044,0.00256,0.00256,0.00256
95,2726.5,0.89848,0.84189,0.76201,0.92054,0.85919,0.91341,0.17003,0.36323,0.98539,0.8512,0.79617,0.00248,0.00248,0.00248
96,2754.83,0.83983,0.84524,0.75379,0.91369,0.86015,0.9142,0.16368,0.36273,0.98668,0.83533,0.79711,0.0024,0.0024,0.0024
97,2783.12,0.83849,0.84271,0.7485,0.91853,0.87044,0.92096,0.18174,0.37426,0.96842,0.81066,0.79111,0.00232,0.00232,0.00232
98,2811.42,0.86538,0.82114,0.75104,0.92232,0.86656,0.92251,0.174,0.37058,0.96615,0.81539,0.78978,0.00224,0.00224,0.00224
99,2839.73,0.87295,0.82215,0.7554,0.91698,0.87133,0.92058,0.16594,0.36703,0.97618,0.81598,0.7918,0.00216,0.00216,0.00216
100,2867.95,0.86535,0.82766,0.74951,0.91505,0.87336,0.92055,0.17726,0.37313,0.96566,0.81416,0.78968,0.00208,0.00208,0.00208
