epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,18991.3,0.8477,1.20308,0.70815,0,0,0,0,0,0,0,0,0.00808,0.00808,0.00808
74,19638.4,0.86049,1.18799,0.70637,0,0,0,0,0,0,0,0,0.00805333,0.00805333,0.00805333
75,20288.1,0.86623,1.20539,0.70484,0,0,0,0,0,0,0,0,0.00802667,0.00802667,0.00802667
76,20933.3,0.871,1.18066,0.70324,0,0,0,0,0,0,0,0,0.008,0.008,0.008
77,21583.4,0.87602,1.18309,0.7078,0,0,0,0,0,0,0,0,0.00797333,0.00797333,0.00797333
78,22230.6,0.89403,1.19459,0.70453,0,0,0,0,0,0,0,0,0.00794667,0.00794667,0.00794667
79,22734.3,0.91208,1.18868,0.70812,0,0,0,0,0,0,0,0,0.00792,0.00792,0.00792
80,23360.8,0.87427,1.16996,0.70321,0,0,0,0,0,0,0,0,0.00789333,0.00789333,0.00789333
81,24008,0.86405,1.17861,0.70561,0,0,0,0,0,0,0,0,0.00786667,0.00786667,0.00786667
82,24654.4,0.8573,1.18813,0.70527,0,0,0,0,0,0,0,0,0.00784,0.00784,0.00784
83,25302.1,0.85014,1.182,0.70521,0,0,0,0,0,0,0,0,0.00781333,0.00781333,0.00781333
84,25950.8,0.88764,1.16928,0.70128,0,0,0,0,0,0,0,0,0.00778667,0.00778667,0.00778667
85,26597.9,0.8542,1.16545,0.70235,0,0,0,0,0,0,0,0,0.00776,0.00776,0.00776
86,27242.8,0.84232,1.16343,0.70034,0,0,0,0,0,0,0,0,0.00773333,0.00773333,0.00773333
87,27884.3,0.89147,1.16948,0.70328,0,0,0,0,0,0,0,0,0.00770667,0.00770667,0.00770667
88,28127.6,0.81902,1.16124,0.70001,0,0,0,0,0,0,0,0,0.00768,0.00768,0.00768
89,28323.6,0.84509,1.16911,0.70122,0,0,0,0,0,0,0,0,0.00765333,0.00765333,0.00765333
90,28519.2,0.86551,1.15833,0.70115,0,0,0,0,0,0,0,0,0.00762667,0.00762667,0.00762667
91,28714.8,0.84114,1.15409,0.6995,0,0,0,0,0,0,0,0,0.0076,0.0076,0.0076
92,28910.9,0.85059,1.15707,0.69967,0,0,0,0,0,0,0,0,0.00757333,0.00757333,0.00757333
93,29522.7,0.81262,1.14839,0.69612,0,0,0,0,0,0,0,0,0.00754667,0.00754667,0.00754667
94,30171.6,0.82553,1.14942,0.69999,0,0,0,0,0,0,0,0,0.00752,0.00752,0.00752
95,30850.4,0.8283,1.15342,0.69862,0,0,0,0,0,0,0,0,0.00749333,0.00749333,0.00749333
96,31726.6,0.84764,1.15392,0.70222,0,0,0,0,0,0,0,0,0.00746667,0.00746667,0.00746667
97,32611.7,0.82717,1.14804,0.69908,0,0,0,0,0,0,0,0,0.00744,0.00744,0.00744
98,33490.9,0.83997,1.16127,0.70096,0,0,0,0,0,0,0,0,0.00741333,0.00741333,0.00741333
99,34371.2,0.82765,1.14522,0.69738,0,0,0,0,0,0,0,0,0.00738667,0.00738667,0.00738667
100,35255.8,0.81354,1.14526,0.69584,0,0,0,0,0,0,0,0,0.00736,0.00736,0.00736
